,party_size,QSO,redshift_guess,biggest_boi_z,vel_disp,radius,logmass,center_ra,center_dec,biggest_boi_gal_ra,biggest_boi_gal_dec,center_diff_mpc,member_ids,morphology,biggestgaltype,stellar_masses,QSOrho_min,center_QSO_rho,host_vs_2nd_largest,delta_pos_angles,distances_to_largest,max_dist_to_largest,min_dist,group_name,absorption
0,3,J0226+0015,0.35296875497818325,0.3494243,434.27875527748006 km / s,0.47554728663794493 Mpc,13.541018537631139,36.55068405360174,0.24950840009310873,36.55075073,0.251679987,0.040052623315028735 Mpc,"0     J022601.51+001532.5._03
10    J022612.15+001357.5._03
12    J022612.18+001506.0._01
Name: id, dtype: object","0       b'SF'
10      b'SF'
12    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"0     8.405740
10    8.493776
12    9.237293
Name: mstars, dtype: float64","12    212.200456
Name: rho_impact, dtype: float64",0.23954909987608125,0.18050237062206664,[99.01205343],[0.83057539 0.3511995 ],0.8305753859114637,0.35119949973112213,J0226+0015_0.353,yes
1,3,J0226+0015,0.2977290367314558,0.2978321,82.10966884351586 km / s,0.5454572807064169 Mpc,12.153837005022785,36.534891777290134,0.2591854270913186,36.51005936,0.26017001300000003,0.40884518542015885 Mpc,"1     J022602.41+001536.6._01
3     J022607.08+001612.7._01
18    J022617.99+001447.5._02
Name: id, dtype: object","1     b'SF+E'
3       b'SF'
18      b'SF'
Name: gal_type, dtype: object",b'SF+E',"1     10.386827
3      8.162347
18     8.845501
Name: mstars, dtype: float64","18    309.147669
Name: rho_impact, dtype: float64",0.4179393415236321,0.02875238564154846,[39.14805713],[0.36014568 1.09091456],1.0909145614128337,0.36014567540456316,J0226+0015_0.2977,yes
2,3,J0809+4619,0.5209718160124183,0.5209032,170.96243529961782 km / s,0.4460492822060432 Mpc,12.703471896788509,122.30295296450747,46.331767967698475,122.3273163,46.33452988,0.3942891142330133 Mpc,"30    J080905.28+461944.8._01
39    J080913.54+461954.1._02
49    J080918.56+462004.3._03
Name: id, dtype: object","30    b'SF'
39    b'SF'
49    b'SF'
Name: gal_type, dtype: object",b'SF',"30    8.682405
39    8.705125
49    9.479523
Name: mstars, dtype: float64","30    226.299365
Name: rho_impact, dtype: float64",0.35575915117974005,0.1681132973711306,[3.02043965],[0.89209856 0.34044124],0.8920985644120765,0.3404412353302686,J0809+4619_0.521,yes
3,3,J0809+4619,0.5327041584291947,0.5301170999999999,64.25117503448554 km / s,0.2425109703073517 Mpc,11.588781199118236,122.31687903499255,46.342665123149544,122.3260574,46.32632828,0.4099305197415455 Mpc,"40    J080913.68+462032.5._04
44    J080916.16+462034.8._02
47    J080918.25+461934.8._02
Name: id, dtype: object","40    b'SF+E'
44      b'SF'
47    b'SF+E'
Name: gal_type, dtype: object",b'SF+E',"40     9.084104
44     9.159035
47    11.030561
Name: mstars, dtype: float64","40    572.241914
Name: rho_impact, dtype: float64",0.6917668849434233,0.013442306177015247,[19.51799553],[0.48502194 0.41468189],0.485021940614694,0.4146818889551109,J0809+4619_0.5327,no
6,3,J0843+4117,0.593428070299212,0.5934164000000001,587.4728056954765 km / s,0.4896173058758222 Mpc,13.816119956232788,130.961451280711,41.332694263615686,130.9360504,41.33399963,0.471335122535602 Mpc,"69     J084344.65+412002.4._05
90     J084350.43+411952.4._06
117    J084357.34+411958.1._06
Name: id, dtype: object","69     b'SF'
90     b'SF'
117    b'SF'
Name: gal_type, dtype: object",b'SF',"69     10.393711
90      8.713455
117     9.354136
Name: mstars, dtype: float64","90    899.830087
Name: rho_impact, dtype: float64",0.9368583230868697,0.09129035030977299,[7.04908661],[0.45102824 0.97923461],0.9792346117516444,0.4510282355157211,J0843+4117_0.5934,no
7,4,J0843+4117,0.5792058361883476,0.5800295999999999,741.130979407261 km / s,0.6160718164183764 Mpc,14.117708936759303,130.95881108631767,41.3051377438819,130.9388275,41.32926178,0.6925436901812984 Mpc,"74     J084345.32+411945.3._04
84     J084348.40+411646.7._05
97     J084352.49+411825.8._04
101    J084353.55+411812.7._04
Name: id, dtype: object","74       b'SF'
84       b'SF'
97     b'SF+E'
101      b'SF'
Name: gal_type, dtype: object",b'SF',"74     10.899514
84      9.720776
97      9.874649
101    10.053571
Name: mstars, dtype: float64","101    375.549683
Name: rho_impact, dtype: float64",0.2540853602093102,0.1425792314967988,[34.46939586  0.41950126 34.0498946 ],[1.23214363 0.76740141 0.88752881],1.2321436328367528,0.7674014062515297,J0843+4117_0.5792,yes
12,4,J0914+2823,0.6001283237580554,0.5993769,210.4741084339208 km / s,0.4752470294288141 Mpc,12.9116044288259,138.65284780113646,28.389869443798077,138.6569824,28.38467979,0.15706069860002936 Mpc,"137    J091436.16+282334.9._02
138    J091436.21+282335.1._03
141    J091437.68+282304.8._02
151    J091443.73+282159.6._01
Name: id, dtype: object","137    b'SF'
138    b'SF'
141    b'SF'
151    b'SF'
Name: gal_type, dtype: object",b'SF',"137    10.191614
138     9.490131
141    11.049733
151     8.994163
Name: mstars, dtype: float64","141    303.581866
Name: rho_impact, dtype: float64",0.34019634914059993,0.13863776426505972,[  1.08718191 162.88189726 161.79471535],[0.24839156 0.24707329 0.71029016],0.7102901638549491,0.24707328742404375,J0914+2823_0.6001,no
13,3,J0914+2823,0.22761953805008855,0.2282073,240.27501987336456 km / s,0.251752369433876 Mpc,12.750678471226582,138.6947433540538,28.413870286498835,138.6757355,28.41416931,0.22641968877730564 Mpc,"149    J091442.18+282451.0._02
153    J091446.58+282503.4._02
163    J091451.54+282359.6._03
Name: id, dtype: object","149    b'SF+E'
153      b'SF'
163      b'SF'
Name: gal_type, dtype: object",b'SF+E',"149    11.202757
153     9.994957
163     9.860081
Name: mstars, dtype: float64","149    315.719541
Name: rho_impact, dtype: float64",0.43390920695406193,0.061972655039092384,[34.65042406],[0.22337841 0.50350474],0.5035047388677485,0.22337841272957862,J0914+2823_0.2276,yes
14,3,J0914+2823,0.3108068251239951,0.31114390000000003,561.4205251140576 km / s,0.44549509983645014 Mpc,13.735707164391489,138.68815694907914,28.386133557029524,138.6894531,28.38530922,0.023841491589075694 Mpc,"150    J091442.85+282231.7._01
152    J091445.47+282307.1._01
154    J091446.65+282534.2._01
Name: id, dtype: object","150    b'SF+E'
152      b'SF'
154      b'SF'
Name: gal_type, dtype: object",b'SF',"150     8.158745
152    11.682953
154     8.635013
Name: mstars, dtype: float64","150    314.999336
Name: rho_impact, dtype: float64",0.31152958218680216,0.0008954878442731987,[141.75255021],[0.23319411 0.69607982],0.6960798245296334,0.2331941078251866,J0914+2823_0.3108,yes
16,3,J0935+0204,0.35318012573681584,0.3495139,822.0843914831577 km / s,0.3401254094698518 Mpc,13.949759543533107,143.82331241403696,2.0863583423160184,143.8101044,2.082890034,0.2516893774364515 Mpc,"176    J093514.43+020458.4._08
181    J093516.87+020523.2._08
197    J093523.24+020511.0._08
Name: id, dtype: object","176      b'SF'
181    b'SF+E'
197      b'SF'
Name: gal_type, dtype: object",b'SF',"176    11.811457
181    10.423237
197     9.152866
Name: mstars, dtype: float64","176    360.920261
Name: rho_impact, dtype: float64",0.287324312823438,0.04090534174411992,[28.62987581],[0.22679498 0.68025082],0.6802508189397036,0.22679497563174308,J0935+0204_0.3532,yes
