Unnamed: 0,specfile,id,OBJECT,cgm_name,gal_ra,gal_dec,z,OII_flux,OII_flux_sig,OII_LQ,Hbeta_flux,Hbeta_flux_sig,Hbeta_LQ,OIII_flux,OIII_flux_sig,OIII_LQ,Halpha_flux,Halpha_flux_sig,Halpha_LQ,NII_flux,NII_flux_sig,NII_LQ,SIIa_flux,SIIa_flux_sig,SIIa_LQ,SIIb_flux,SIIb_flux_sig,SIIb_LQ,Comment,Unnamed: 30,properSFR,properSFR_flag
Joe,J022601.51+001532.5.fits,J022601.51+001532.5._03,J0226+0015,J0226+0015_271_194,36.50630188,0.2590399981,0.35271529999999995,-99.0,-99.0,-99,2.13e-17,2.44e-18,1.0,2.2500000000000002e-17,1.7600000000000003e-18,1.0,3.12e-17,2.47e-18,1.0,1.1199999999999999e-17,2.57e-18,1.0,1.29e-17,7.99e-19,1,1.7600000000000003e-18,1.1400000000000001e-18,1,,,0.1035395135816647,1.0
Joe,J022602.41+001536.6.fits,J022602.41+001536.6._01,J0226+0015,J0226+0015_272_181,36.51005936,0.2601700127,0.2978321,-99.0,-99.0,-99,-99.0,-99.0,-99.0,2.1899999999999996e-17,1.87e-18,1.0,2.0800000000000003e-17,8.409999999999999e-19,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99.0,2,,,0.04661198045172802,1.0
Joe,J022606.98+001451.4.fits,J022606.98+001451.4._02,J0226+0015,J0226+0015_251_119,36.52907944,0.2476200014,0.3846623,4.2e-17,5.28e-18,1,5.2100000000000005e-17,2.23e-18,1.0,-99.0,-99.0,-99.0,1.61e-16,1.31e-18,1.0,5.91e-17,9.82e-19,1.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.6547783398317156,1.0
Joe,J022607.08+001612.7.fits,J022607.08+001612.7._01,J0226+0015,J0226+0015_291_119,36.52951813,0.2702000141,0.2995563,-99.0,-99.0,-99,1.38e-17,1.51e-18,0.0,1.56e-17,1.7299999999999998e-18,1.0,2.32e-17,8.620000000000001e-19,1.0,3.97e-18,7.05e-19,1.0,6.7100000000000005e-18,7.029999999999999e-19,1,4.4e-18,7.559999999999999e-19,1,,,0.052687002655177485,1.0
Joe,J022608.02+001427.2.fits,J022608.02+001427.2._03,J0226+0015,J0226+0015_237_115,36.53340149,0.2408799976,0.5065837000000001,4.1e-17,3.29e-18,1,2.52e-17,1.53e-18,1.0,2.88e-17,1.41e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.5641260770018605,2.0
Joe,J022609.11+001513.1.fits,J022609.11+001513.1._01,J0226+0015,J0226+0015_258_82,36.537971500000005,0.2536500096,0.4965645,-99.0,-99.0,0,2.7e-17,3.43e-18,1.0,3.93e-17,2.18e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.5761276545890041,2.0
Joe,J022610.26+001603.7.fits,J022610.26+001603.7._01,J0226+0015,J0226+0015_298_72,36.54273987,0.2676999867,0.33450599999999997,-99.0,-99.0,-99,1.59e-17,1.08e-18,1.0,3.8299999999999995e-17,1.38e-18,1.0,5.25e-17,1.3299999999999999e-18,1.0,-99.0,-99.0,-99.0,7.230000000000001e-18,1.3299999999999999e-18,1,5.74e-18,3.4799999999999995e-19,1,,,0.15396388811246065,1.0
Joe,J022610.44+001514.0.fits,J022610.44+001514.0._03,J0226+0015,J0226+0015_255_62,36.54347992,0.2538999915,0.5070571,5.97e-17,3.5499999999999996e-18,1,2.7699999999999996e-17,2.07e-18,1.0,7.149999999999999e-17,1.7000000000000002e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.6214835541239586,2.0
Joe,J022611.06+001323.6.fits,J022611.06+001323.6._02,J0226+0015,J0226+0015_202_136,36.54608917,0.2232300043,0.47494,-99.0,-99.0,-99,8.13e-17,2.8400000000000003e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,Wrong redshift? Hbeta?,,1.559341821419251,2.0
Joe,J022611.40+001341.3.fits,J022611.40+001341.3._01,J0226+0015,J0226+0015_203_118,36.54748917,0.2281299978,0.3651937,1.56e-17,3.34e-18,1,1.57e-17,1.4699999999999999e-18,1.0,1.65e-17,1.38e-18,1.0,1.77e-17,2.6499999999999998e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.06371843594034443,1.0
Joe,J022612.15+001357.5.fits,J022612.15+001357.5._03,J0226+0015,J0226+0015_201_99,36.55062103,0.2326299995,0.3532369,1.34e-16,5.04e-18,1,6.990000000000001e-17,2.41e-18,1.0,1.1399999999999998e-16,2.26e-18,1.0,1.34e-16,2.92e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.4462276042138387,1.0
Joe,J022612.18+001407.3.fits,J022612.18+001407.3._01,J0226+0015,J0226+0015_203_89,36.55076981,0.2353499979,0.4739670999999999,9.97e-17,2.9399999999999998e-18,1,5.34e-17,1.5e-18,1.0,9.790000000000001e-17,1.83e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,1.0192084138985598,2.0
Joe,J022612.18+001506.0.fits,J022612.18+001506.0._01,J0226+0015,J0226+0015_235_42,36.55075073,0.2516799867,0.3494243,1.1899999999999999e-16,5.8999999999999994e-18,1,4.59e-17,2.51e-18,1.0,5.11e-17,2.4e-18,1.0,1.52e-16,1.8499999999999998e-18,1.0,-99.0,-99.0,-99.0,3.77e-17,1.6400000000000001e-18,1,-99.0,-99.0,-99,,,0.4934952240888832,1.0
Joe,J022613.33+001358.7.fits,J022613.33+001358.7._01,J0226+0015,J0226+0015_191_93,36.55553055,0.2329699993,0.6095467,1.27e-16,2.9e-18,1,3.5200000000000004e-17,2.19e-18,1.0,4.91e-17,1.39e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,1.2320886791070613,2.0
Joe,J022614.39+001620.4.fits,J022614.39+001620.4._02,J0226+0015,J0226+0015_359_51,36.55997849,0.2723299861,0.3618539,1.21e-16,3.5400000000000004e-18,1,5.329999999999999e-17,1.35e-18,1.0,8.5e-17,1.55e-18,1.0,1.42e-16,1.13e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.5003014057095153,1.0
Joe,J022614.58+001351.4.fits,J022614.58+001351.4._03,J0226+0015,J0226+0015_179_98,36.56074905,0.23094999789999998,0.2928785,-99.0,-99.0,0,4.36e-17,3.3e-18,0.0,6.47e-17,3.05e-18,1.0,4.59e-17,1.56e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.09896113172559308,1.0
Joe,J022616.82+001624.7.fits,J022616.82+001624.7._01,J0226+0015,J0226+0015_33_65,36.570079799999995,0.27353999019999997,0.5590381999999999,4.7700000000000003e-17,1.4e-18,1,1.57e-17,5.99e-19,1.0,5e-17,1.09e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.4456269064576073,2.0
Joe,J022617.54+001834.5.fits,J022617.54+001834.5._01,J0226+0015,J0226+0015_14_190,36.57307053,0.3095799983,0.39951,-99.0,-99.0,-99,3.26e-17,1.79e-18,1.0,4.2399999999999996e-17,1.6299999999999998e-18,1.0,7.48e-17,7.940000000000001e-19,1.0,8.85e-18,6.46e-19,1.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.3326109403467575,1.0
Joe,J022617.99+001447.5.fits,J022617.99+001447.5._02,J0226+0015,J0226+0015_129_68,36.57495117,0.2465199977,0.29762,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,Wrong redshift?,,-99.0,0.0
Joe,J022619.99+001435.3.fits,J022619.99+001435.3._02,J0226+0015,J0226+0015_123_99,36.58327103,0.2431499958,0.4566662,1.48e-16,4.5400000000000005e-18,1,4.1e-17,1.6e-18,1.0,6.039999999999999e-17,1.93e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.7160633418354371,2.0
Joe,J022622.00+001642.3.fits,J022622.00+001642.3._01,J0226+0015,J0226+0015_57_134,36.59167862,0.2784300148,0.22823289999999996,-99.0,-99.0,-99,2.62e-16,7.29e-18,1.0,1.59e-15,1.57e-17,1.0,1.3300000000000001e-15,9.96e-18,1.0,9.98e-16,8.67e-18,1.0,2.69e-16,6.78e-18,1,2.34e-16,6.69e-18,1,,,1.6241743325544546,1.0
Joe,J080852.41+461747.5.fits,J080852.41+461747.5._03,J0809+4619,J0809+4619_239_190,122.21839140000002,46.29653931,0.19009679999999998,-99.0,-99.0,-99,4.7e-17,1.61e-18,1.0,1.05e-16,1.79e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.10897627551363327,2.0
Joe,J080859.67+462048.0.fits,J080859.67+462048.0._04,J0809+4619,J0809+4619_313_120,122.24861909999998,46.34666824,0.2017999,9.370000000000001e-17,1.1199999999999999e-17,1,1.94e-17,1.54e-18,1.0,3.69e-17,1.55e-18,1.0,9.300000000000001e-17,9.02e-19,1.0,1.22e-17,8.39e-19,2.0,1.66e-17,4.9e-19,1,1.39e-17,4.379999999999999e-19,1,,,0.0861412861231945,1.0
Joe,J080901.07+462153.4.fits,J080901.07+462153.4._03,J0809+4619,J0809+4619_334_165,122.2544403,46.36483002,0.22296999999999997,-99.0,-99.0,-99,-99.0,-99.0,2.0,1.35e-16,1.89e-18,1.0,-99.0,-99.0,2.0,-99.0,-99.0,2.0,4.8e-17,5.1200000000000005e-19,2,3.49e-17,4.1399999999999997e-19,2,,,-99.0,0.0
Joe,J080901.51+462029.7.fits,J080901.51+462029.7._02,J0809+4619,J0809+4619_313_94,122.25630190000001,46.34157181,0.14155220000000002,-99.0,-99.0,-99,4.1e-17,2e-18,1.0,5.14e-17,2.2e-18,1.0,-99.0,-99.0,2.0,3.8299999999999995e-17,6.14e-19,1.0,3.74e-17,5.029999999999999e-19,1,2.52e-17,5.71e-19,1,,,0.049670857821656755,2.0
Joe,J080901.64+461903.3.fits,J080901.64+461903.3._01,J0809+4619,J0809+4619_252_71,122.25682069999999,46.31758881,0.1472912,-99.0,-99.0,-99,-99.0,-99.0,2.0,-99.0,-99.0,-99.0,9.030000000000001e-17,2.25e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.04171580512232033,1.0
Joe,J080903.95+462000.0.fits,J080903.95+462000.0._03,J0809+4619,J0809+4619_308_55,122.2664719,46.33332062,0.3396703,-99.0,-99.0,-99,1.0400000000000002e-17,4.2200000000000005e-19,1.0,3.02e-18,3e-19,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.09039703743832085,2.0
Joe,J080903.96+461952.5.fits,J080903.96+461952.5._02,J0809+4619,J0809+4619_302_51,122.2664871,46.33124924,0.6450314,1.11e-16,1.4200000000000001e-18,1,2.89e-17,7.07e-19,1.0,2.22e-17,2.8800000000000003e-19,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,1.160874098685157,2.0
Joe,J080903.97+461911.9.fits,J080903.97+461911.9._04,J0809+4619,J0809+4619_252_45,122.26653290000002,46.31996918,0.4899354,3.19e-17,1.54e-18,0,1.1900000000000001e-17,7.65e-19,1.0,2.04e-17,4.400000000000001e-19,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,,0.2458724724927698,2.0
