party_size,QSO,redshift_guess,biggest_boi_z,vel_disp,radius,logmass,center_ra,center_dec,biggest_boi_gal_ra,biggest_boi_gal_dec,center_diff_mpc,member_ids
5,J0843+4117,0.5417371951503273,0.5398155,360.04584297820315 km / s,0.722004609960654 Mpc,13.559543233348503,130.94180181203413,41.31918505114113,130.9745178,41.32067108,0.5807582189335815 Mpc,"57     J084340.92+411951.6._05
61     J084342.77+411946.2._05
75     J084345.42+411617.2._04
86     J084349.02+411751.5._06
103    J084353.88+411914.4._04
Name: id, dtype: object"
8,J0843+4117,0.8074845843484586,0.8070989000000001,503.8134162083585 km / s,0.8386772935155622 Mpc,13.916422002399445,130.97425934059447,41.28617593038986,130.974472,41.28392029,0.06307156672222673 Mpc,"59     J084341.89+411628.9._04
73     J084345.02+411911.4._06
78     J084346.70+411845.1._05
99     J084352.98+411626.9._06
102    J084353.87+411702.1._05
104    J084353.98+411917.1._06
106    J084354.06+411701.4._04
108    J084354.25+411631.2._05
Name: id, dtype: object"
5,J0914+2823,0.5100122242489847,0.5093191,150.76630517177458 km / s,0.7520359746396579 Mpc,12.821134860383285,138.70592950953696,28.389861457069074,138.7068634,28.41184998,0.5033450096284552 Mpc,"136    J091435.68+282229.9._01
155    J091446.86+282238.5._02
161    J091449.43+282312.6._02
162    J091449.65+282442.7._02
164    J091451.82+282413.0._03
Name: id, dtype: object"
5,J0935+0204,0.22574778213048693,0.22557,358.71761577068156 km / s,0.4025263840445176 Mpc,13.302587421515414,143.80311168839773,2.0877402497238267,143.8110657,2.089780092,0.11043159248548431 Mpc,"168    J093510.25+020630.5._09
170    J093511.63+020440.4._07
172    J093512.82+020542.9._07
174    J093514.06+020302.8._07
177    J093514.66+020523.2._07
Name: id, dtype: object"
5,J0935+0204,0.4248022225348835,0.4247206,136.63079844809084 km / s,0.30944937229167885 Mpc,12.349974479470843,143.84016357733339,2.0788133826795905,143.8456879,2.07288003,0.16748516463364543 Mpc,"186    J093518.97+020500.9._09
191    J093521.13+020318.1._09
192    J093521.14+020451.0._07
195    J093522.96+020422.4._07
199    J093524.25+020444.4._09
Name: id, dtype: object"
5,J1001+5944,0.3742051177051762,0.3755545,51.016126529871144 km / s,0.5688901390254302 Mpc,11.758731028946558,150.21989425437454,59.73465525428852,150.1678925,59.74748993,0.5582834513509644 Mpc,"224    J100040.30+594451.0._12
227    J100047.12+594351.1._10
228    J100048.71+594409.8._11
250    J100106.36+594409.4._12
252    J100107.84+594401.1._10
Name: id, dtype: object"
7,J1001+5944,0.2821399279398376,0.281961,227.87300270008683 km / s,0.5353871986951582 Mpc,13.032341393854589,150.30168389480494,59.736017609566304,150.3014374,59.76086044,0.3936250497089242 Mpc,"235    J100054.87+594436.7._10
241    J100100.76+594258.0._12
257    J100109.85+594447.3._10
261    J100112.34+594539.1._10
263    J100113.55+594412.8._12
265    J100115.26+594333.5._12
270    J100125.65+594325.6._12
Name: id, dtype: object"
6,J1001+5944,0.3042969558390405,0.3050435,240.0750518356186 km / s,0.26566115918382893 Mpc,12.77330978673964,150.26072983762975,59.723169852533445,150.2586212,59.71730042,0.0996189150353009 Mpc,"237    J100057.19+594233.8._11
239    J100100.42+594254.7._10
243    J100102.07+594302.3._11
245    J100103.47+594418.1._11
246    J100103.73+594406.6._11
251    J100106.62+594333.6._12
Name: id, dtype: object"
15,J1016+4706,0.16592465623560587,0.16504000000000002,726.2560273933645 km / s,0.41544731779837357 Mpc,13.928983119727542,154.09761808007713,47.09866413082325,154.0986938,47.07994843,0.19775972735461889 Mpc,"276    J101614.74+470515.3._13
278    J101614.77+470630.3._15
282    J101618.77+470839.6._14
285    J101620.10+470618.6._15
286    J101620.51+470625.9._13
287    J101620.89+470621.3._14
292    J101623.68+470447.8._13
294    J101623.78+470516.5._14
300    J101624.85+470501.5._15
301    J101625.10+470548.3._15
306    J101626.29+470458.4._13
315    J101630.21+470615.4._14
319    J101630.82+470521.3._13
325    J101639.05+470613.8._15
326    J101641.53+470628.9._15
Name: id, dtype: object"
10,J1112+3539,0.44934989907228845,0.44944,652.1737772900967 km / s,0.43644447797189273 Mpc,13.856943329129395,165.014694,35.66131752251155,165.014694,35.6804314,0.40803067182833663 Mpc,"419    J111231.19+354049.6._19
421    J111231.90+353827.2._20
423    J111232.70+354036.2._21
431    J111236.43+354030.3._20
434    J111237.17+354047.6._19
438    J111240.03+354041.0._21
440    J111241.46+353856.0._21
443    J111245.74+353822.3._20
445    J111246.36+353844.2._21
449    J111248.63+353847.6._21
Name: id, dtype: object"
