party_size,QSO,redshift_guess,biggest_boi_z,vel_disp,radius,logmass,center_ra,center_dec,biggest_boi_gal_ra,biggest_boi_gal_dec,center_diff_mpc,member_ids
3,J0226+0015,0.35296875497818325,0.3494243,434.27875527748006 km / s,0.47554728663794493 Mpc,13.541018537631139,36.55068405360174,0.24950840009310873,36.55075073,0.251679987,0.040052623315028735 Mpc,"[0     J022601.51+001532.5._03
10    J022612.15+001357.5._03
12    J022612.18+001506.0._01
Name: id, dtype: object]"
3,J0226+0015,0.2977290367314558,0.2978321,82.10966884351586 km / s,0.5454572807064169 Mpc,12.153837005022785,36.534891777290134,0.2591854270913186,36.51005936,0.26017001300000003,0.40884518542015885 Mpc,"[1     J022602.41+001536.6._01
3     J022607.08+001612.7._01
18    J022617.99+001447.5._02
Name: id, dtype: object]"
3,J0809+4619,0.5209718160124183,0.5209032,170.96243529961782 km / s,0.4460492822060432 Mpc,12.703471896788509,122.30295296450747,46.331767967698475,122.3273163,46.33452988,0.3942891142330133 Mpc,"[30    J080905.28+461944.8._01
39    J080913.54+461954.1._02
49    J080918.56+462004.3._03
Name: id, dtype: object]"
3,J0809+4619,0.5327041584291947,0.5301170999999999,64.25117503448554 km / s,0.2425109703073517 Mpc,11.588781199118236,122.31687903499255,46.342665123149544,122.3260574,46.32632828,0.4099305197415455 Mpc,"[40    J080913.68+462032.5._04
44    J080916.16+462034.8._02
47    J080918.25+461934.8._02
Name: id, dtype: object]"
5,J0843+4117,0.5417371951503273,0.5398155,360.04584297820315 km / s,0.722004609960654 Mpc,13.559543233348503,130.94180181203413,41.31918505114113,130.9745178,41.32067108,0.5807582189335815 Mpc,"[57     J084340.92+411951.6._05
61     J084342.77+411946.2._05
75     J084345.42+411617.2._04
86     J084349.02+411751.5._06
103    J084353.88+411914.4._04
Name: id, dtype: object]"
8,J0843+4117,0.8074845843484586,0.8070989000000001,503.8134162083585 km / s,0.8386772935155622 Mpc,13.916422002399445,130.97425934059447,41.28617593038986,130.974472,41.28392029,0.06307156672222673 Mpc,"[59     J084341.89+411628.9._04
73     J084345.02+411911.4._06
78     J084346.70+411845.1._05
99     J084352.98+411626.9._06
102    J084353.87+411702.1._05
104    J084353.98+411917.1._06
106    J084354.06+411701.4._04
108    J084354.25+411631.2._05
Name: id, dtype: object]"
3,J0843+4117,0.593428070299212,0.5934164000000001,587.4728056954765 km / s,0.4896173058758222 Mpc,13.816119956232788,130.961451280711,41.332694263615686,130.9360504,41.33399963,0.471335122535602 Mpc,"[69     J084344.65+412002.4._05
90     J084350.43+411952.4._06
117    J084357.34+411958.1._06
Name: id, dtype: object]"
4,J0843+4117,0.5792058361883476,0.5800295999999999,741.130979407261 km / s,0.6160718164183764 Mpc,14.117708936759303,130.95881108631767,41.3051377438819,130.9388275,41.32926178,0.6925436901812984 Mpc,"[74     J084345.32+411945.3._04
84     J084348.40+411646.7._05
97     J084352.49+411825.8._04
101    J084353.55+411812.7._04
Name: id, dtype: object]"
4,J0843+4117,0.30078200850870773,0.30411409999999994,774.4812148770999 km / s,0.36306714026127324 Mpc,13.92629638200052,130.97815849582517,41.284090614165954,130.9750214,41.27563095,0.14549831498045593 Mpc,"[79     J084346.79+411735.0._06
105    J084354.01+411632.3._06
110    J084355.09+411542.2._06
111    J084355.19+411819.9._04
Name: id, dtype: object]"
3,J0843+4117,0.45516674179359207,0.4546481,100.59593301093065 km / s,0.2937173137685766 Mpc,12.061378054471833,130.96034217368071,41.30717442533482,130.9620056,41.31864929,0.24820588956443937 Mpc,"[88     J084349.68+411820.3._06
93     J084350.88+411907.1._05
116    J084357.22+411759.5._05
Name: id, dtype: object]"
4,J0843+4117,0.5916072039864853,0.5902814000000001,310.0460245915281 km / s,0.3761479637639749 Mpc,13.146498710366645,130.98443927849465,41.27790222943924,130.9602509,41.27318954,0.4623393372398707 Mpc,"[91     J084350.46+411623.5._04
109    J084354.53+411655.1._04
119    J084358.82+411640.5._04
123    J084400.09+411640.9._05
Name: id, dtype: object]"
5,J0914+2823,0.5100122242489847,0.5093191,150.76630517177458 km / s,0.7520359746396579 Mpc,12.821134860383285,138.70592950953696,28.389861457069074,138.7068634,28.41184998,0.5033450096284552 Mpc,"[136    J091435.68+282229.9._01
155    J091446.86+282238.5._02
161    J091449.43+282312.6._02
162    J091449.65+282442.7._02
164    J091451.82+282413.0._03
Name: id, dtype: object]"
4,J0914+2823,0.6001283237580554,0.5993769,210.4741084339208 km / s,0.4752470294288141 Mpc,12.9116044288259,138.65284780113646,28.389869443798077,138.6569824,28.38467979,0.15706069860002936 Mpc,"[137    J091436.16+282334.9._02
138    J091436.21+282335.1._03
141    J091437.68+282304.8._02
151    J091443.73+282159.6._01
Name: id, dtype: object]"
3,J0914+2823,0.22761953805008855,0.2282073,240.27501987336456 km / s,0.251752369433876 Mpc,12.750678471226582,138.6947433540538,28.413870286498835,138.6757355,28.41416931,0.22641968877730564 Mpc,"[149    J091442.18+282451.0._02
153    J091446.58+282503.4._02
163    J091451.54+282359.6._03
Name: id, dtype: object]"
3,J0914+2823,0.3108068251239951,0.31114390000000003,561.4205251140576 km / s,0.44549509983645014 Mpc,13.735707164391489,138.68815694907914,28.386133557029524,138.6894531,28.38530922,0.023841491589075694 Mpc,"[150    J091442.85+282231.7._01
152    J091445.47+282307.1._01
154    J091446.65+282534.2._01
Name: id, dtype: object]"
