,id,gal_ra,gal_dec,z,rho,mstars,logN2,logO3HB,galdiff,QSOdiff,S2
173,J093514.06+020302.8._07,143.8085938,2.050790071,0.2256141,356.8022365999737,9.940748010325473,-0.3505153587438995,-0.46905987279004907,0.02123476703967192,-0.9156246725838892,-1.0825348880552128
180,J093516.87+020523.2._08,143.82029719999997,2.089780092,0.3555047,362.82457329161974,10.423237308113533,-0.24174357833329568,-0.2954833751641149,0.9778514914977137,-0.6284331416678755,-1.056697476624688
249,J100106.36+594409.4._12,150.2764893,59.7359314,0.3740997,155.40935970656096,8.872226308136431,-0.2272437815030624,-0.3979400086720376,1.0364018728318984,-0.713066662817291,-0.7411676841304737
275,J101614.74+470515.3._13,154.0614014,47.08758163,0.16971129999999998,356.04586967610305,9.898322459554374,-0.29801927662617544,-0.3215516628085828,0.47529579922710896,-0.7173007649930185,-0.8353885586277487
286,J101620.89+470621.3._14,154.0870361,47.10593033,0.1632,81.34487819869554,9.98870919426271,-0.31409246850322303,-0.09420411963213152,0.5978991180128059,-0.506234652377272,-0.20734895278612328
293,J101623.78+470516.5._14,154.0990753,47.08792877,0.16681,258.1127641092086,9.606588002387602,-0.04420366249205352,-0.30196496799905426,12.247796536144623,-0.3056645884107877,-0.6037443934985366
378,J110000.99+251717.8._02,165.004105,25.28829,0.1187836,67.86209314243456,9.023772897378043,-0.4804748967272502,0.2377006728875461,0.25727792688147727,-0.31051488640770725,-0.42596873227228116
399,J111235.71+353934.5._19,165.014694,35.6595802,0.3621253,218.23581852656017,8.996337605292746,-0.30361124832601405,-0.06654633364843299,0.6926018891637512,-0.46803659917914464,
413,J111245.79+353901.5._20,165.014694,35.65040970000001,0.1433139,222.55831075604766,9.726536485696418,-0.2348404764639514,-0.6122900988113134,0.7352178316141149,-0.9368460439235289,-1.0749647616464613
439,J113331.17+032729.4._08,165.014694,3.45817995,0.2463429,206.32301845098672,9.689545113214423,-0.2633326060737308,-0.170067660663443,0.8963944330174483,-0.5282486539156791,
459,J113455.21+255441.7._06,165.014694,25.911569600000004,0.15673,158.11133471003618,8.378645721523933,-0.7646627599411091,0.5246324605986408,0.07236975337196672,-0.17130550093095476,-0.688145905574896
461,J113456.74+255555.9._06,165.014694,25.9321899,0.11041,63.298775026179335,8.42550215000456,-0.7123339658940002,0.6216924630683516,0.2280323671110177,-0.0523788589132006,-0.4883191545211363
495,J123257.85-003057.3._09,188.2410583,-0.5159199834,0.0795256,155.1008849231433,7.960456329044026,-0.70472233322511,0.43216419371352277,0.04775333604761023,-0.238564159917678,-0.561558776510611
681,J155258.00+354943.7._11,238.241684,35.82881927,0.1909909869,370.51144002076126,9.453659256057168,-0.139531789715873,0.09559860441650957,3.2173622092705436,-0.09363324814306685,-0.6610241188725735
689,J155301.71+354930.5._13,238.2571259,35.82513046,0.15102000000000002,198.61238945698554,9.00018165361119,-0.4111497737143203,0.11973754292249227,0.3533817986137213,-0.3779851414644533,-0.6063885435911199
696,J155303.55+354726.5._11,238.2647705,35.79069138,0.2173298332,233.72435289859507,7.990990682850381,-0.43988069955837283,-0.07478699794953259,0.06195263534745421,-0.5943694362888944,-0.59392181787098
